relationship,guidance,social,collaboration,funding,benefits,publications,teaching,careersupport,Age,Gender,LatinoHispanic,MiddleEastern,African,SouthAsian,EastAsian,OtherEth,Africa,Asia,Australasia,NorthCentralAmerica,SouthAmerica,PhDReason,HoursWorked,HoursMeeting,Anxiety,Bullying,Discrimination,Caring,Class1,Class2,Class3,Class4,Class5,Class6,Class,ID
6, ,6,6, ,6,5,5,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.001,0,.999,6,73
6,1,6,1,1,6,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.005,.002,.944,0,.049,4,78
6,6,5,2,6,6,3,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,.014,0,.986,6,79
4,4,2,5,5,3,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.362,.007,.627,0,.005,4,80
5,4,5,5,5,4,3, ,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,.01,0,.544,0,.446,4,83
6,6,6,6,3,6,4,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.002,0,.998,6,87
6,6,2,5,5,6,4, ,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,.055,0,.945,6,88
4,5,6,4,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.297,0,.632,0,.071,4,89
2,4,5,0,5,5,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,.755,.007,0,.237,0,2,90
5,3,3,4,4,6,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.042,0,.716,0,.242,4,91
6,4,4,3,2,3,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.986,0,.014,4,95
2,1,1,3,4,0,3, ,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,.216,.027,.268,0,.49,0,5,96
2,3,3,3,2,3,3,3,3,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,.925,.007,.001,.067,0,2,98
2,1,4,2,4,6,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.249,.001,0,.75,0,5,100
5,2,0,3,3,4,0,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,.048,.21,.741,0,.001,4,102
1,3,6,1,4,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.002,.021,0,0,.977,0,5,103
4,3,4,3,6,6,4, ,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.643,0,.183,0,.174,2,104
1,4,2,2,1,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.179,.024,.009,0,.789,0,5,106
4, ,3,1,6,5, , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,.574,.18,.217,0,.028,2,109
4,5,3,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.195,.06,.744,0,.001,4,110
6,6,6,3, ,1,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,.046,0,.954,6,111
6,5,6,5,5,4,5,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.062,0,.938,6,112
0,4,1,2, ,3,3, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.229,0,0,0,.77,0,5,113
5,4,6,4,2,3,0,3, ,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.008,.001,.957,0,.033,4,115
5,5,6,5,3,3,5, ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.002,0,.331,0,.667,6,117
0,0,3,3,3,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,.32,0,0,0,.68,0,5,119
6,6,6,6,3,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.075,0,.925,6,120
0, ,5,4,4,3,5,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,.002,.001,0,0,.997,0,5,121
3,2,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.001,.012,.985,0,.002,0,3,123
1,2,4,4,2,5,4, ,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,.001,.066,0,0,.932,0,5,124
6,5,6,5,5,5,2,5,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.109,0,.891,6,127
6,2,4,5,5,3,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.001,0,.892,0,.106,4,134
 , ,4,6,5,4,4,6,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,.026,0,.04,0,.933,6,136
5,4,4,3,3,5,4, ,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,.012,0,.594,0,.394,4,137
3,4,3,3,6,3,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,.97,.002,.027,.001,0,2,138
6,5,2,6,4,5, ,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.519,0,.481,4,139
6,6,6,6,6,6,3,6,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6,144
6,6,5,5,4,6,3,4,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,.031,0,.969,6,145
0,0,6,0,6,6,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,.009,.001,0,0,.99,0,5,151
4,3,3,3,2,3,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,.413,.103,.483,0,.001,4,154
6,5,5,5,5,5,3,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.038,0,.962,6,156
3,2,4,6,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,.978,.004,.016,.002,0,2,158
4,4,3,3,5,3,4,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,.405,.001,.538,0,.056,4,159
6,6,5,4,6,4,4,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,.022,0,.978,6,160
5,5,5,5,3,5,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.001,0,.084,0,.916,6,164
6,6,5,6,0,2,2, ,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.772,0,.228,4,165
1,2,0,2, ,2,3,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,.219,.004,.002,0,.775,0,5,166
5,5,4,5,4,4,3,4,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.002,0,.337,0,.661,6,167
2,2,2,4,5,2,4, ,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,.001,.783,.01,0,.206,0,2,170
5,5,5,4,4,4,2, ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,.004,0,.495,0,.502,6,171
2,4,0,2,6,4,0, ,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,.009,.614,.055,0,.321,0,2,177
3,1,5,3,0,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,.781,.199,.011,.009,0,2,180
6,4,2,4,3,3,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.9,0,.099,4,182
1,1,2,4,2,0,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,.01,.033,.001,0,.957,0,5,184
6,5,5,3,2,3,0,6,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,.898,0,.102,4,188
4,6,5,3,6,5,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.132,0,.397,0,.472,6,189
4,4,5,5,5,4,2,3,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.297,0,.483,0,.22,4,190
6,6,5,6,5,5,5,5,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,.001,0,.999,6,193
4,6,4,5,0,1,1,6,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,.029,0,.898,0,.073,4,196
0,0,2,2,4,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.472,0,0,0,.528,0,5,197
0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,.996,0,0,0,.004,0,1,199
5,4,2,5,3,4,3,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,.012,0,.955,0,.033,4,203
6,5,5,5,1,5,2,5,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.236,0,.764,6,205
2,3,3,2,6,6,4,6,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,.952,0,0,.048,0,2,206
5,2,3,2,6,3,0, ,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.07,.004,.856,0,.071,4,207
2,0,3,1,3,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,.19,.006,.114,0,.689,0,5,208
5,5,3,3,5,3,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,.007,0,.88,0,.113,4,209
6,6,4,3,0,2,0,1,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,.992,0,.008,4,212
0,0,3,1,5,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,.52,0,0,0,.48,0,1,219
6,6,6,6,6,5,5, ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.001,0,.999,6,223
5,6,6,4,6,6, , ,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.001,0,.078,0,.921,6,225
6,1,2,6,1,5,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.002,.001,.983,0,.013,4,226
4, ,3, ,6,3,0, ,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.409,.187,.399,0,.004,2,228
6,5,0,4,3,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,.001,.996,0,.002,4,231
4,0,4,2,1,1,1, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,.002,.998,0,0,0,3,232
3,3,1,3,6,3,2,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,.909,.072,.012,.008,0,2,236
 , ,3, ,3,4, , , ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,.02,.24,.051,.374,.163,.151,4,238
5,5,6,4,4,4,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.002,0,.345,0,.653,6,240
6,6,4,4,1,4,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,.949,0,.051,4,242
5,5,3,6,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.002,.002,.995,0,.001,4,243
3,1,4,3,5,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.773,.093,.002,.133,0,2,246
1,2,5,2,6,3,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,.001,.013,0,0,.986,0,5,249
6,5,6,6,6,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.026,0,.974,6,250
6,5,2,5,3,3,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.898,0,.102,4,256
5,2,2,3,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,.012,.737,.251,0,0,3,263
4,4,5,2,4,3,4, ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,.44,.1,.46,0,.001,4,265
5,5,1,6,1,4,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.004,0,.986,0,.01,4,266
4,4,5,4,6,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.191,0,.191,0,.618,6,267
3,2,6,4,6,4,1, ,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,.99,.001,.007,.002,0,2,268
3,5,3,5,4,6,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.939,.001,.059,0,.001,2,274
2,3,6,4,4,5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.976,0,0,.024,0,2,277
3,1,6,6,6,3,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,.994,0,.005,.001,.001,2,283
6,5,2,4,5,6,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.604,0,.396,4,285
4,3,3,3,4,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.545,.007,.438,0,.01,2,287
6,2,2,5,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.001,.012,.987,0,.001,4,289
6,4,5,4,3,3,2, ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.949,0,.051,4,290
4,4,5,5,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.017,0,.013,0,.97,6,291
3,1,0,2,4,4,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.004,.074,.864,0,.058,0,3,293
3,3,4,3,4,2,3,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,.973,.002,.024,.001,0,2,305
6,5,6,4,5,5,2, ,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.271,0,.729,6,307
6,3,2,3,5,4,3,3,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,.001,0,.717,0,.282,4,312
2,0,6,2,3,0,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,.033,.02,.08,0,.867,0,5,315
6,2,5,4,2,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,.001,.991,0,.008,4,317
3,3,3,4,3,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.939,.029,.029,.003,0,2,318
4,5,4,5,5,4,3,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.037,0,.12,0,.843,6,319
2,2,6,1,3,4,2,5,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.734,.002,0,.264,0,2,320
6,5,4,2,6,6,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.068,0,.932,6,321
6,6,6,6,6,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.115,0,.885,6,322
3,0,5,5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.883,.046,.001,.07,0,2,324
1,1,4,4, ,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.002,.005,0,0,.994,0,5,325
6,6,5,2, ,6,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.007,0,.993,6,326
6,6,6,6,5,6,5, ,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.003,0,.997,6,327
4,1,6,2,4,6,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,.902,.007,.089,0,.002,2,328
5,2,5,4,6,4,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.074,0,.764,0,.161,4,329
5,4,6,4,6,5,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.01,0,.345,0,.645,6,330
4,2,6,6,5,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.461,0,.187,0,.352,2,331
0,1,2,0,3,0,0, ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.978,0,0,0,.022,0,1,332
6,6,4,5,0,5,5,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.016,0,.984,6,333
6,6,5,4,4,6,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.011,0,.989,6,334
4,5,5,5,6,4,6,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,.055,0,.129,0,.816,6,335
2,0,3,3,3,2,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.033,.066,.073,0,.828,0,5,336
4,5,4,6,6,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,0,.58,0,.245,4,337
4,2,6,5,5,5,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.698,0,.189,0,.112,2,338
4,4,5,3,6,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.454,.001,.504,0,.04,4,339
3,1,6,5,6, ,1, ,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.981,.005,.004,.01,0,2,340
6,5,5,6, ,5,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.007,0,.993,6,343
3,2,6,2,2,3,5,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,.923,.057,.008,.011,0,2,346
6,6,5,6,6,3,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.023,0,.977,6,347
6,6,4,4, ,6,4, , ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.082,0,.918,6,350
6,4,3,5,4,2,5,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.284,0,.716,6,351
1,1,1,3,5,4,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,.021,.003,0,0,.976,0,5,356
3,2,2,3,5,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.872,.106,.008,.014,0,2,359
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,.999,0,0,0,.001,0,1,363
2,1,0,3,5,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,.59,.003,.279,0,.129,0,1,365
0,0,0,0,1,4,0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,.933,0,0,0,.067,0,1,366
6,0,3,6,0,0,3,3,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,.001,.001,.987,0,.011,4,370
4,4,4,5,1,5, ,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.306,.002,.667,0,.026,4,371
6,6,6,4,4,3,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,.949,0,.051,4,372
5,5,4,5,5,5,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.015,0,.985,6,374
5,5,0,3,4,2,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,.006,.044,.949,0,.001,4,376
4,4,6,3,2,3,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,.286,.023,.69,0,.001,4,380
5,2,5,6,6,2,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,.039,0,.766,0,.195,4,384
5,4,5,5,5,6,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,.006,0,.201,0,.793,6,390
6,4,5,6,6,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.01,0,.99,6,391
6, ,5,6,6,3,5,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.01,0,.99,6,393
0,0,5,0,5,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.154,0,0,0,.846,0,5,395
4,3,0, ,0,4,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,.007,.984,.009,0,0,3,397
